Date,Location,Latitude,Longitude,SST (°C),pH Level,Species Observed,RF_Predicted_Species,Prediction_Error,Risk_Cluster
2020-02-14,Great Barrier Reef,-18.2602,147.7528,27.95,8.019,109,124.44,-15.44,At_Risk
2020-02-20,South China Sea,9.9017,115.1028,26.85,8.072,132,146.29,-14.29,Stable
2020-02-27,Red Sea,20.0154,38.5408,29.79,7.995,104,111.0,-7.0,Critical
2020-03-04,Caribbean Sea,15.0141,-75.0124,30.91,8.026,106,98.63,7.37,Critical
2020-03-11,Red Sea,20.0331,38.5587,28.77,7.98,123,119.22,3.78,At_Risk
2020-03-18,Great Barrier Reef,-18.3197,147.6728,29.38,8.094,111,113.29,-2.29,At_Risk
2020-03-24,Caribbean Sea,15.0154,-74.9149,28.86,8.173,124,116.9,7.1,Stable
2020-03-31,Galápagos,-1.0418,-90.9279,29.07,8.103,124,115.73,8.27,At_Risk
2020-04-06,Galápagos,-0.9607,-91.0268,28.19,8.014,114,119.37,-5.37,At_Risk
2020-04-13,Galápagos,-0.9244,-90.8821,29.09,7.978,120,116.64,3.36,At_Risk
2020-04-20,Caribbean Sea,15.0598,-75.0305,28.3,8.055,110,119.46,-9.46,At_Risk
2020-04-26,Great Barrier Reef,-18.2547,147.6932,29.13,7.993,107,114.56,-7.56,Critical
2020-05-03,Caribbean Sea,15.0361,-75.0186,31.09,7.978,97,98.46,-1.46,Critical
2020-05-09,Hawaiian Islands,19.9434,-155.6537,25.86,8.027,165,152.23,12.77,Stable
2020-05-16,Great Barrier Reef,-18.3147,147.8271,27.65,8.076,151,129.58,21.42,Stable
2020-05-22,South China Sea,10.1003,115.1031,30.31,8.065,110,102.59,7.41,At_Risk
2020-05-29,Caribbean Sea,15.0389,-75.0276,27.27,8.074,129,128.16,0.84,Stable
2020-06-05,Caribbean Sea,14.9773,-74.9652,29.93,8.026,127,110.21,16.79,At_Risk
2020-06-11,Caribbean Sea,14.9429,-75.0097,27.42,7.978,129,129.48,-0.48,At_Risk
2020-06-18,Great Barrier Reef,-18.2932,147.7749,29.45,7.98,138,113.78,24.22,At_Risk
2020-06-24,Red Sea,20.0611,38.5291,28.16,8.009,117,119.37,-2.37,At_Risk
2020-07-01,Red Sea,20.0544,38.5942,30.81,7.979,80,98.38,-18.38,Critical
2020-07-08,South China Sea,10.007,114.9116,28.98,8.033,108,116.85,-8.85,At_Risk
2020-07-14,South China Sea,9.9203,115.0257,27.7,8.007,84,122.1,-38.1,At_Risk
2020-07-21,Caribbean Sea,14.9986,-74.9114,30.99,7.977,86,98.46,-12.46,Critical
2020-07-27,South China Sea,10.0234,114.9501,28.95,8.079,133,118.32,14.68,At_Risk
2020-08-03,Caribbean Sea,14.995,-75.0102,27.18,8.035,129,127.52,1.48,At_Risk
2020-08-09,Maldives,3.2212,73.2664,27.3,8.149,127,128.33,-1.33,Stable
2020-08-16,Red Sea,19.9989,38.4626,24.86,8.167,167,149.84,17.16,Stable
2020-08-23,South China Sea,9.9859,115.0033,29.27,7.956,104,114.41,-10.41,Critical
2020-08-29,Maldives,3.2425,73.158,28.94,7.973,122,119.46,2.54,At_Risk
2020-09-05,Red Sea,19.9982,38.4192,30.25,7.978,90,102.84,-12.84,Critical
2020-09-11,Red Sea,20.01,38.5574,26.98,8.084,141,130.38,10.62,Stable
2020-09-18,Caribbean Sea,15.0347,-74.9912,27.95,8.02,126,124.44,1.56,At_Risk
2020-09-25,South China Sea,9.9464,114.8539,29.15,8.082,78,113.7,-35.7,Critical
2020-10-01,South China Sea,9.9495,115.031,31.59,7.989,78,94.97,-16.97,Critical
2020-10-08,Galápagos,-0.9629,-90.8969,27.53,8.029,122,129.11,-7.11,At_Risk
2020-10-14,Caribbean Sea,14.9523,-74.9939,30.94,8.017,91,98.63,-7.63,Critical
2020-10-21,Hawaiian Islands,19.8822,-155.661,29.82,8.02,104,110.64,-6.64,Critical
2020-10-28,Great Barrier Reef,-18.1274,147.7141,27.37,8.051,148,127.62,20.38,Stable
2020-11-03,Caribbean Sea,15.0057,-75.0719,29.88,7.989,134,110.45,23.55,At_Risk
2020-11-10,Red Sea,20.054,38.4776,30.42,8.015,113,102.53,10.47,Critical
2020-11-16,Maldives,3.227,73.1784,27.53,8.121,124,130.15,-6.15,Stable
2020-11-23,Hawaiian Islands,19.8766,-155.6306,29.14,8.14,97,112.2,-15.2,At_Risk
2020-11-29,Caribbean Sea,15.0012,-74.9294,28.38,8.075,105,118.04,-13.04,At_Risk
2020-12-06,Great Barrier Reef,-18.2657,147.6898,29.98,8.08,144,111.3,32.7,At_Risk
2020-12-13,Hawaiian Islands,19.9258,-155.5665,28.79,8.027,122,118.41,3.59,At_Risk
2020-12-19,South China Sea,9.9852,115.0084,30.48,7.96,117,102.36,14.64,Critical
2020-12-26,Galápagos,-0.8879,-90.9715,25.32,8.083,171,153.87,17.13,Stable
2021-01-01,Red Sea,19.9989,38.45,27.74,8.107,135,125.14,9.86,Stable
2021-01-08,Caribbean Sea,14.9881,-75.0183,27.91,8.016,150,125.15,24.85,Stable
2021-01-15,Red Sea,19.9839,38.5609,30.78,8.054,90,98.94,-8.94,Critical
2021-01-21,Red Sea,20.0202,38.4988,27.14,8.093,115,128.94,-13.94,Stable
2021-01-28,South China Sea,10.0594,114.9768,28.8,8.058,113,118.27,-5.27,At_Risk
2021-02-03,South China Sea,10.0293,114.9763,29.81,7.957,108,111.11,-3.11,Critical
2021-02-10,Great Barrier Reef,-18.1902,147.6492,27.48,8.096,132,129.74,2.26,Stable
2021-02-16,Caribbean Sea,15.0175,-74.9755,29.45,8.086,116,113.0,3.0,At_Risk
2021-02-23,Hawaiian Islands,19.8847,-155.5492,31.35,7.986,76,97.06,-21.06,Critical
2021-03-02,Galápagos,-0.8984,-90.9716,25.24,8.158,144,149.17,-5.17,Stable
2021-03-08,Great Barrier Reef,-18.2916,147.7158,28.79,8.08,110,118.16,-8.16,At_Risk
2021-03-15,South China Sea,10.0257,114.987,29.61,8.059,94,111.94,-17.94,Critical
2021-03-21,Galápagos,-0.8995,-90.9924,29.71,8.044,135,111.91,23.09,At_Risk
2021-03-28,Great Barrier Reef,-18.2983,147.6817,28.47,8.035,132,118.33,13.67,At_Risk
2021-04-04,Great Barrier Reef,-18.3679,147.6465,26.9,8.13,161,141.04,19.96,Stable
2021-04-10,Great Barrier Reef,-18.2923,147.6908,28.61,8.106,105,117.29,-12.29,At_Risk
2021-04-17,Caribbean Sea,15.0119,-74.9512,29.25,8.044,127,113.99,13.01,At_Risk
2021-04-23,Hawaiian Islands,19.7616,-155.5489,27.52,7.978,137,130.82,6.18,At_Risk
2021-04-30,Maldives,3.2715,73.2138,29.93,8.102,125,110.91,14.09,At_Risk
2021-05-06,Maldives,3.2848,73.2578,28.61,7.968,115,119.22,-4.22,At_Risk
2021-05-13,Maldives,3.1606,73.3292,28.24,8.061,130,119.77,10.23,At_Risk
2021-05-20,Maldives,3.205,73.3055,27.57,8.078,118,129.17,-11.17,At_Risk
2021-05-26,Maldives,3.1368,73.1901,28.44,8.03,110,118.33,-8.33,At_Risk
2021-06-02,Caribbean Sea,14.9297,-75.0042,26.24,8.133,143,144.42,-1.42,Stable
2021-06-08,South China Sea,9.9271,114.9845,27.37,8.089,151,128.92,22.08,Stable
2021-06-15,Maldives,3.109,73.2265,28.26,8.088,125,119.42,5.58,At_Risk
2021-06-22,Red Sea,19.9624,38.484,27.31,8.128,132,128.6,3.4,Stable
2021-06-28,Galápagos,-0.8587,-90.9686,27.44,7.996,103,129.36,-26.36,At_Risk
2021-07-05,Great Barrier Reef,-18.3663,147.7126,29.26,7.956,125,114.41,10.59,At_Risk
2021-07-11,Maldives,3.1786,73.228,30.92,8.046,91,98.41,-7.41,Critical
2021-07-18,Galápagos,-0.9984,-91.0732,27.42,8.061,115,127.72,-12.72,At_Risk
2021-07-25,Great Barrier Reef,-18.2937,147.703,28.16,8.024,125,119.37,5.63,At_Risk
2021-07-31,Hawaiian Islands,19.9189,-155.6373,30.62,8.003,99,101.04,-2.04,Critical
2021-08-07,Maldives,3.2382,73.2324,29.93,8.036,96,109.95,-13.95,Critical
2021-08-13,Galápagos,-0.9357,-91.0228,28.66,8.045,115,118.33,-3.33,At_Risk
2021-08-20,Hawaiian Islands,19.8904,-155.6769,27.68,8.071,130,129.77,0.23,Stable
2021-08-26,Great Barrier Reef,-18.3385,147.7625,27.2,8.124,139,128.66,10.34,Stable
2021-09-02,Red Sea,19.9677,38.5888,26.71,8.132,152,142.83,9.17,Stable
2021-09-09,South China Sea,9.9665,115.0696,28.12,8.072,127,123.68,3.32,At_Risk
2021-09-15,Red Sea,19.9933,38.5405,29.69,7.939,127,112.3,14.7,Critical
2021-09-22,Hawaiian Islands,19.8137,-155.5312,30.19,7.962,96,103.33,-7.33,Critical
2021-09-28,Galápagos,-1.0091,-90.9763,28.04,8.098,144,123.65,20.35,Stable
2021-10-05,South China Sea,10.0698,114.9719,28.19,7.972,111,120.14,-9.14,At_Risk
2021-10-12,Galápagos,-0.9056,-90.8848,26.65,8.057,138,146.69,-8.69,Stable
2021-10-18,Great Barrier Reef,-18.2731,147.6587,29.14,8.014,113,114.24,-1.24,At_Risk
2021-10-25,Great Barrier Reef,-18.2598,147.6995,27.85,8.058,125,125.23,-0.23,At_Risk
2021-10-31,South China Sea,9.9815,114.9871,30.9,8.03,91,98.47,-7.47,Critical
2021-11-07,Red Sea,20.0348,38.4833,30.26,8.033,100,102.46,-2.46,Critical
2021-11-13,Maldives,3.2252,73.1422,26.81,8.024,139,148.7,-9.7,Stable
2021-11-20,Red Sea,20.0866,38.6116,29.46,8.056,83,113.26,-30.26,Critical
2021-11-27,Great Barrier Reef,-18.3142,147.6598,27.57,8.06,122,128.38,-6.38,At_Risk
2021-12-03,South China Sea,9.901,115.0374,26.89,8.094,167,144.59,22.41,Stable
2021-12-10,Hawaiian Islands,19.8508,-155.7093,28.07,8.114,153,124.25,28.75,Stable
2021-12-16,Red Sea,19.9385,38.5248,27.8,8.059,166,125.72,40.28,Stable
2021-12-23,Red Sea,19.9249,38.5127,29.2,8.09,114,113.7,0.3,At_Risk
2021-12-30,South China Sea,10.0154,114.9804,28.9,8.025,125,118.47,6.53,At_Risk
2022-01-05,Red Sea,19.9815,38.5189,28.46,8.107,119,117.29,1.71,At_Risk
2022-01-12,Hawaiian Islands,19.8081,-155.5197,27.14,8.044,124,127.48,-3.48,At_Risk
2022-01-18,South China Sea,10.0687,114.8932,33.21,8.009,76,90.02,-14.02,Critical
2022-01-25,Hawaiian Islands,19.8941,-155.5685,29.28,8.067,120,113.96,6.04,At_Risk
2022-01-31,Hawaiian Islands,19.9013,-155.5927,28.27,8.045,139,119.67,19.33,At_Risk
2022-02-07,Red Sea,20.0297,38.353,29.48,8.04,109,113.39,-4.39,At_Risk
2022-02-14,Hawaiian Islands,19.8774,-155.5266,29.92,7.983,111,110.45,0.55,Critical
2022-02-20,South China Sea,9.9514,114.931,27.56,8.112,143,130.62,12.38,Stable
2022-02-27,Caribbean Sea,15.0257,-74.9637,29.27,8.002,118,114.41,3.59,At_Risk
2022-03-05,South China Sea,10.04,115.0377,30.28,8.05,107,102.65,4.35,Critical
2022-03-12,Caribbean Sea,15.0535,-75.0013,27.18,8.068,122,127.47,-5.47,Stable
2022-03-19,Galápagos,-0.9876,-90.9728,27.31,8.058,103,127.4,-24.4,At_Risk
2022-03-25,Galápagos,-0.9431,-90.9655,27.27,8.107,146,128.7,17.3,Stable
2022-04-01,Red Sea,19.9196,38.4619,27.35,8.026,143,127.74,15.26,Stable
2022-04-07,South China Sea,9.9903,114.9868,25.49,8.142,131,146.52,-15.52,Stable
2022-04-14,Galápagos,-0.9508,-90.9517,30.54,7.944,54,97.78,-43.78,Critical
2022-04-20,Hawaiian Islands,19.906,-155.4928,30.36,8.023,94,102.53,-8.53,Critical
2022-04-27,Great Barrier Reef,-18.2467,147.6505,29.21,8.061,128,114.05,13.95,At_Risk
2022-05-04,South China Sea,10.138,115.0196,27.74,8.064,101,124.46,-23.46,At_Risk
2022-05-10,Red Sea,19.9653,38.4795,27.71,8.073,115,124.12,-9.12,At_Risk
2022-05-17,Galápagos,-0.8977,-90.9656,28.49,8.034,122,118.33,3.67,At_Risk
2022-05-23,Great Barrier Reef,-18.2458,147.6558,27.51,8.055,109,128.96,-19.96,At_Risk
2022-05-30,Galápagos,-0.9948,-90.9894,29.81,8.037,109,110.78,-1.78,At_Risk
2022-06-06,Great Barrier Reef,-18.2446,147.6923,29.09,8.033,118,115.87,2.13,At_Risk
2022-06-12,Galápagos,-0.9829,-91.0875,28.3,8.125,135,118.23,16.77,Stable
2022-06-19,Hawaiian Islands,19.9451,-155.521,28.63,8.057,109,118.27,-9.27,At_Risk
2022-06-25,South China Sea,9.9842,115.0308,30.31,8.007,95,103.01,-8.01,Critical
2022-07-02,Red Sea,20.0,38.5301,26.33,7.979,133,148.6,-15.6,At_Risk
2022-07-09,Red Sea,19.939,38.4746,28.28,8.032,144,119.89,24.11,At_Risk
2022-07-15,Maldives,3.2191,73.2357,29.43,7.974,126,114.07,11.93,At_Risk
2022-07-22,Great Barrier Reef,-18.2909,147.7327,26.89,8.004,148,146.95,1.05,Stable
2022-07-28,Great Barrier Reef,-18.2683,147.6541,27.2,8.132,115,128.4,-13.4,Stable
2022-08-04,Red Sea,20.0821,38.455,29.46,8.014,119,113.55,5.45,At_Risk
2022-08-10,Red Sea,19.9728,38.4919,28.56,7.999,130,119.22,10.78,At_Risk
2022-08-17,Great Barrier Reef,-18.3128,147.6878,27.01,7.952,132,131.05,0.95,At_Risk
2022-08-24,Galápagos,-0.8332,-90.9264,28.47,8.037,120,118.33,1.67,At_Risk
2022-08-30,South China Sea,10.0274,114.941,30.17,8.052,114,103.37,10.63,At_Risk
2022-09-06,Galápagos,-0.9319,-90.9646,29.51,8.059,104,112.24,-8.24,At_Risk
2022-09-12,Red Sea,19.9713,38.5051,30.82,7.942,74,97.59,-23.59,Critical
2022-09-19,Hawaiian Islands,19.905,-155.5803,28.76,8.057,114,118.27,-4.27,At_Risk
2022-09-26,Hawaiian Islands,19.9713,-155.6628,27.26,8.07,107,127.5,-20.5,At_Risk
2022-10-02,Hawaiian Islands,19.888,-155.4997,28.53,8.061,100,118.37,-18.37,At_Risk
2022-10-09,Maldives,3.172,73.2019,28.02,8.124,133,123.01,9.99,Stable
2022-10-15,South China Sea,9.9444,115.0123,29.25,8.092,136,113.62,22.38,At_Risk
2022-10-22,Hawaiian Islands,19.846,-155.6233,26.61,8.076,145,146.6,-1.6,Stable
2022-10-28,Great Barrier Reef,-18.2377,147.6954,28.02,8.067,112,123.25,-11.25,At_Risk
2022-11-04,South China Sea,10.1045,114.9196,28.78,8.146,117,116.84,0.16,At_Risk
2022-11-11,Hawaiian Islands,19.8873,-155.6007,28.23,8.124,89,118.32,-29.32,At_Risk
2022-11-17,Galápagos,-0.8771,-91.0368,28.1,8.037,132,125.76,6.24,At_Risk
2022-11-24,Caribbean Sea,14.9201,-74.9769,31.54,7.921,92,98.02,-6.02,Critical
2022-11-30,Red Sea,19.9669,38.5213,28.53,8.017,127,118.41,8.59,At_Risk
2022-12-07,South China Sea,10.0902,114.9905,29.58,7.964,94,112.47,-18.47,Critical
2022-12-14,Caribbean Sea,15.0236,-74.9258,29.03,8.024,114,116.12,-2.12,At_Risk
2022-12-20,Hawaiian Islands,19.8343,-155.5526,29.82,8.001,99,110.71,-11.71,Critical
2022-12-27,Caribbean Sea,15.0133,-75.0218,28.4,8.157,117,116.76,0.24,Stable
2023-01-02,Caribbean Sea,14.9821,-75.0324,29.62,8.019,99,112.22,-13.22,Critical
2023-01-09,Red Sea,20.0661,38.571,27.6,7.975,144,130.01,13.99,At_Risk
2023-01-15,Red Sea,19.9658,38.5395,25.54,8.154,131,145.77,-14.77,Stable
2023-01-22,Red Sea,20.0365,38.5007,27.07,8.058,144,127.77,16.23,Stable
2023-01-29,Red Sea,20.0053,38.5292,31.46,7.912,114,99.57,14.43,Critical
2023-02-04,Hawaiian Islands,19.902,-155.6277,26.5,8.08,153,146.6,6.4,Stable
2023-02-11,Caribbean Sea,14.9936,-74.9244,26.32,8.093,122,145.92,-23.92,Stable
2023-02-17,Caribbean Sea,15.0182,-74.9557,27.87,7.932,129,126.62,2.38,At_Risk
2023-02-24,Galápagos,-0.932,-90.9454,30.35,7.959,111,102.84,8.16,Critical
2023-03-03,Caribbean Sea,15.0596,-75.0889,28.98,8.015,113,116.92,-3.92,At_Risk
2023-03-09,Red Sea,20.0174,38.4756,27.49,8.072,113,128.54,-15.54,At_Risk
2023-03-16,Great Barrier Reef,-18.3414,147.7332,26.78,8.118,144,142.83,1.17,Stable
2023-03-22,South China Sea,9.9137,114.9661,30.29,7.965,95,102.84,-7.84,Critical
2023-03-29,Galápagos,-0.9307,-90.9264,28.12,8.028,145,123.76,21.24,At_Risk
2023-04-05,South China Sea,10.0869,115.0489,28.63,8.007,106,118.58,-12.58,At_Risk
2023-04-11,Maldives,3.2289,73.2416,30.6,8.04,76,100.49,-24.49,Critical
2023-04-18,South China Sea,10.0526,114.9501,27.92,8.074,155,125.91,29.09,Stable
2023-04-24,Great Barrier Reef,-18.1316,147.7295,28.23,8.082,136,119.16,16.84,Stable
2023-05-01,Red Sea,19.984,38.5898,28.85,8.068,126,118.35,7.65,At_Risk
2023-05-07,Red Sea,20.0211,38.5419,27.57,8.041,112,128.15,-16.15,At_Risk
2023-05-14,Great Barrier Reef,-18.2651,147.7381,29.19,8.12,113,112.65,0.35,At_Risk
2023-05-21,Hawaiian Islands,19.9302,-155.6374,27.92,8.096,138,126.11,11.89,Stable
2023-05-27,Red Sea,19.9853,38.4964,26.22,8.078,156,148.74,7.26,Stable
2023-06-03,Galápagos,-0.925,-90.9406,28.57,8.049,109,118.27,-9.27,At_Risk
2023-06-09,Hawaiian Islands,19.9317,-155.5618,29.24,8.009,80,114.15,-34.15,Critical
2023-06-16,South China Sea,10.0549,114.9761,27.21,8.111,127,128.77,-1.77,Stable
2023-06-23,Hawaiian Islands,19.9498,-155.5519,29.53,7.961,127,112.55,14.45,At_Risk
2023-06-29,Galápagos,-0.9407,-90.9841,28.72,7.957,123,119.22,3.78,At_Risk
2023-07-06,Maldives,3.1513,73.1531,26.22,8.151,133,144.26,-11.26,Stable
2023-07-12,Caribbean Sea,15.0767,-75.0268,25.94,8.045,164,152.23,11.77,Stable
2023-07-19,Galápagos,-0.9616,-90.993,28.74,8.07,134,118.29,15.71,At_Risk
2023-07-25,Hawaiian Islands,19.9692,-155.6008,26.51,8.069,143,146.6,-3.6,Stable
2023-08-01,Caribbean Sea,14.9518,-75.0479,29.02,8.037,115,116.04,-1.04,At_Risk
2023-08-08,Caribbean Sea,14.9621,-75.0115,27.11,8.122,149,128.83,20.17,Stable
2023-08-14,Maldives,3.1105,73.1742,26.26,8.062,141,147.54,-6.54,Stable
2023-08-21,South China Sea,9.9275,114.9539,26.99,8.09,136,130.52,5.48,Stable
2023-08-27,Galápagos,-0.9899,-90.9568,27.68,8.053,153,129.67,23.33,Stable
2023-09-03,Caribbean Sea,15.067,-75.065,29.74,8.066,90,110.76,-20.76,Critical
2023-09-10,Red Sea,20.0409,38.5769,26.82,8.038,152,148.7,3.3,Stable
2023-09-16,Hawaiian Islands,19.9104,-155.5552,29.01,8.059,94,115.98,-21.98,At_Risk
2023-09-23,Galápagos,-0.9014,-90.9071,28.16,8.055,100,119.48,-19.48,At_Risk
2023-09-29,Red Sea,20.0257,38.5286,28.41,8.108,115,117.22,-2.22,At_Risk
2023-10-06,Great Barrier Reef,-18.2589,147.6482,28.46,8.042,123,118.33,4.67,At_Risk
2023-10-12,South China Sea,9.9815,114.9934,29.74,8.003,83,110.94,-27.94,Critical
2023-10-19,Red Sea,20.0875,38.5691,26.56,8.123,131,142.73,-11.73,Stable
2023-10-26,Caribbean Sea,15.0132,-74.9853,28.15,8.018,113,119.47,-6.47,At_Risk
2023-11-01,Great Barrier Reef,-18.3329,147.6576,28.4,8.016,131,118.33,12.67,At_Risk
2023-11-08,Hawaiian Islands,19.9712,-155.6118,28.86,8.068,123,118.35,4.65,At_Risk
2023-11-14,Great Barrier Reef,-18.2833,147.7363,29.22,7.974,125,114.67,10.33,At_Risk
2023-11-21,Hawaiian Islands,19.9412,-155.621,28.56,8.083,116,117.95,-1.95,At_Risk
2023-11-28,Great Barrier Reef,-18.2335,147.8174,27.32,8.005,136,129.02,6.98,At_Risk
2023-12-04,Galápagos,-0.9177,-90.9771,30.68,7.939,108,102.92,5.08,Critical
2023-12-11,Maldives,3.1725,73.3067,31.49,7.952,81,94.05,-13.05,Critical
2023-12-17,Caribbean Sea,15.043,-75.0194,28.43,8.053,91,118.2,-27.2,At_Risk
2023-12-24,Red Sea,19.9993,38.4655,27.76,8.137,108,124.9,-16.9,Stable
2023-12-31,Red Sea,20.0407,38.4861,28.08,8.098,129,124.64,4.36,Stable
